epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18149,4.46122,8.84268,3.13663,0,0,0,0,3.43476,5.36203,3.22095,0,0,0
2,6.31913,4.42954,6.55185,2.84426,0,0,0,0,3.38406,5.33461,3.20185,9.00001e-06,9.00001e-06,9.00001e-06
3,9.21739,4.05244,6.39485,3.04684,0,0,0,0,3.27992,5.31317,3.18469,1.782e-05,1.782e-05,1.782e-05
4,11.9214,4.06409,6.76764,2.84982,0,0,0,0,3.20568,5.15786,3.11068,2.64601e-05,2.64601e-05,2.64601e-05
5,14.5523,4.68974,6.53313,3.07259,0,0,0,0,3.18543,5.09759,3.02732,3.49201e-05,3.49201e-05,3.49201e-05
6,17.1821,4.27481,5.76402,2.77341,0,0,0,0,3.21203,5.07145,2.9539,4.32002e-05,4.32002e-05,4.32002e-05
7,20.0096,4.3192,7.03508,2.43741,0,0,0,0,3.20456,4.9278,2.87236,5.13003e-05,5.13003e-05,5.13003e-05
8,22.9173,4.65111,6.907,2.67837,0,0,0,0,3.16879,4.77692,2.80736,5.92204e-05,5.92204e-05,5.92204e-05
9,25.8797,4.42505,7.00222,2.67025,0,0,0,0,3.36969,4.69952,2.78596,6.69606e-05,6.69606e-05,6.69606e-05
10,28.793,3.53862,5.40188,2.50392,0,0,0,0,3.54633,4.64903,2.71858,7.45207e-05,7.45207e-05,7.45207e-05
11,31.7307,3.53776,4.59392,2.29426,0,0,0,0,3.67575,4.58213,2.65618,8.19009e-05,8.19009e-05,8.19009e-05
12,34.8559,3.51038,5.73226,2.24004,0,0,0,0,3.81043,4.48077,2.69095,8.91011e-05,8.91011e-05,8.91011e-05
13,37.6269,3.22655,4.49468,2.25914,0,0,0,0,3.87047,4.41908,2.66852,9.61213e-05,9.61213e-05,9.61213e-05
14,40.3738,3.26954,4.66913,2.14199,0,0,0,0,3.91464,4.32726,2.70351,0.000102962,0.000102962,0.000102962
15,43.0936,3.23447,4.14119,1.98062,0.00617,0.02778,0.03042,0.00304,3.98274,4.29699,2.73237,0.000109622,0.000109622,0.000109622
16,45.9338,3.08414,3.81378,2.36015,0.00704,0.02778,0.00391,0.00117,3.94819,4.27841,2.63053,0.000116102,0.000116102,0.000116102
17,48.6865,3.39694,3.31316,2.03152,0.0061,0.02778,0.005,0.00137,3.94293,4.22587,2.56448,0.000122402,0.000122402,0.000122402
18,51.5255,2.99938,4.6365,2.11432,0.0061,0.02778,0.005,0.00137,3.94293,4.22587,2.56448,0.000128523,0.000128523,0.000128523
19,54.1408,3.3044,4.41904,2.14003,0.01176,0.05556,0.00813,0.0013,4.32029,4.2885,2.67588,0.000134463,0.000134463,0.000134463
20,57.1079,2.96387,2.96523,1.83402,0.01176,0.05556,0.00813,0.0013,4.32029,4.2885,2.67588,0.000140223,0.000140223,0.000140223
21,59.8583,3.45639,3.80698,1.98976,0.00526,0.02778,0.00305,0.0003,4.52366,4.4808,2.78393,0.000145804,0.000145804,0.000145804
22,62.5574,3.07522,4.31445,1.91041,0.00526,0.02778,0.00305,0.0003,4.52366,4.4808,2.78393,0.000151204,0.000151204,0.000151204
23,65.239,3.08307,3.25906,1.95374,0.00459,0.02778,0.00261,0.00026,4.68738,4.3876,2.79569,0.000156424,0.000156424,0.000156424
24,67.8223,3.09845,3.03141,1.7912,0.00459,0.02778,0.00261,0.00026,4.68738,4.3876,2.79569,0.000161465,0.000161465,0.000161465
25,70.5321,2.80877,2.55786,1.87414,0.00333,0.02778,0.00195,0.0002,4.78393,4.19866,2.83265,0.000166325,0.000166325,0.000166325
26,73.3537,3.00467,2.52604,1.42374,0.00333,0.02778,0.00195,0.0002,4.78393,4.19866,2.83265,0.000171006,0.000171006,0.000171006
27,76.1937,2.93356,2.7399,1.65399,0.00273,0.02778,0.0015,0.00015,4.72306,4.08545,2.81127,0.000175506,0.000175506,0.000175506
28,79.156,2.73688,2.62917,1.4951,0.00273,0.02778,0.0015,0.00015,4.72306,4.08545,2.81127,0.000179827,0.000179827,0.000179827
29,81.886,2.95854,2.87634,1.79244,0.00262,0.02778,0.0016,0.00016,4.76128,4.35265,2.78612,0.000183967,0.000183967,0.000183967
30,84.9078,3.63483,7.30085,1.66523,0.00262,0.02778,0.0016,0.00016,4.76128,4.35265,2.78612,0.000187928,0.000187928,0.000187928
31,88.0321,3.65786,4.00071,1.61783,0.005,0.02778,0.0032,0.00064,4.79038,4.61532,2.7754,0.000191708,0.000191708,0.000191708
32,91.0953,3.18521,2.62985,1.60326,0.005,0.02778,0.0032,0.00064,4.79038,4.61532,2.7754,0.000195309,0.000195309,0.000195309
33,94.1648,2.51041,2.02552,1.56079,0.00806,0.02778,0.00479,0.00096,4.81423,4.94327,2.72909,0.000198729,0.000198729,0.000198729
34,97.1795,3.26947,3.05895,1.52503,0.00806,0.02778,0.00479,0.00096,4.81423,4.94327,2.72909,0.00020197,0.00020197,0.00020197
35,99.9281,3.00093,2.96371,1.64,0.00625,0.02778,0.00361,0.00072,4.82447,4.97236,2.67998,0.00020503,0.00020503,0.00020503
